year_received,donor_country,value_usd,gift_description
2009,Ghana,700.0,"31"" x 47"" portrait of President Obama with an American Flag. Rec'd--7/21/2009. Est. Value--$700.00. Disposition--Archives Foreign."
2009,Iraq,675.0,Large silver vase with images of palm trees and sphinxes; Iraqi soccer team jersey. Rec'd--7/22/2009. Est. Value--$675.00. Disposition--Archives Foreign.
2009,Philippines,875.0,Set of white mother-of- pearl cufflinks with blue sapphires in 18 karat white gold in a box made from shells and leather. Rec'd--7/ 30/2009. Est. Value-- $875.00. Disposition-- Archives Foreign.
2009,Kuwait,1100.0,"Mother-of-pearl and lapis lazuli gilt bronze box. Rec'd--8/ 03/2009. Est. Value-- $1,100.00. Disposition--Archives Foreign."
2009,Morocco,624.0,Nine books related to the history and culture of Morocco. Rec'd--8/04/2009. Est. Value--$624.00. Disposition--Archives Foreign.
2009,Mexico,422.0,Book entitled ``The Aztec Calendar and Other Solar Monuments'' by Eduardo Matos and Felipe Solis; one metal Aztec calendar on a wooden display stand. Rec'd-- 8/25/2009. Est. Value-- $422.00. Disposition-- Archives Foreign.
2009,China,3000.0,"3' x 6' wooden framed watercolor on paper depicting a landscape with limestone cliffs. Rec'd--9/20/2009. Est. Value--$3,000.00. Disposition--Archives Foreign."
2009,Italy,6400.0,"Francesco Basile gold watch. Rec'd--9/23/ 2009. Est. Value-- $6,400.00. Disposition--Archives Foreign."
2009,Mauritius,1200.0,"Painting entitled ``Mauritius--A Haven for Peace and Harmony,'' by Daniele Hitie. Rec'd--9/23/ 2009. Est. Value-- $1,200.00. Disposition--Archives Foreign."
2009,Turkey,400.0,Silver bowl with a raised floral motif. Rec'd--9/23/2009. Est. Value--$400.00. Disposition--Archives Foreign.
2009,Thailand,450.0,Silver box imprinted with the insignia of the Kingdom of Thailand. Rec'd--9/23/ 2009. Est. Value-- $450.00. Disposition-- Archives Foreign.
2009,Italy,14445.0,"Book entitled ``I Vetri di Archimede Seguso dal 1950 al 1959''; pair of blown glass candleholders and a glass fruit bowl. Rec'd--9/24/2009. Est. Value--$14,445.00. Disposition--Archives Foreign."
2009,India,1200.0,"Burgundy rug with a foliate motif. Rec'd-- 9/24/2009. Est. Value-- $1,200.00. Disposition--Archives Foreign."
2009,France,2635.0,"Bronze replica of a sculpture by Edgar Degas, entitled ``Halted Horse.'' Rec'd--9/25/2009. Est. Value--$2,635.00. Disposition--Archives Foreign."
2009,Spain,739.0,"Book entitled ``Barcelona & Catalonia''; framed currency entitled ``The United Colonies, Four Dollars'', printed in Philadelphia in 1776 and documents of the Santa Fe Capitulations in a grey velvet case. Rec'd--10/13/2009. Est. Value--$739.00. Disposition--Archives Foreign."
2009,nan,395.0,Graf von Faber-Castell ``Perfect Pencil.'' Rec'd--10/22/2009. Est. Value--$395.00. Disposition--Archives Foreign.
2009,United Kingdom,1019.0,"Book entitled ``A Carnegie Anthology''; book entitled ``Scottish Estate Tweeds''; one Johnstons cashmere sweater. Rec'd--10/22/ 2009. Est. Value-- $1,019.00. Disposition--Archives Foreign."
2009,China,1200.0,"Porcelain sculpture of five oxen. Rec'd--10/ 22/2009. Est. Value-- $1,200.00. Disposition--Archives Foreign."
2009,China,20000.0,"39"" x 49"" wooden framed and matted fine silk embroidery depicting a portrait study of the First Family. Rec'd-- 11/01/2009. Est. Value--$20,000.00. Disposition--Archives Foreign."
2009,nan,538.0,"15"" blue glass jar with a silver design. Rec'd-- 11/02/2009. Est. Value--$538.00. Disposition--Archives Foreign."
2009,Japan,350.0,"16"" x 27"" framed Japanese calligraphy. Rec'd--11/12/2009. Est. Value--$350.00. Disposition--Archives Foreign."
2009,China,450.0,Chinese porcelain vase with a blue and white floral motif. Rec'd-- 11/15/2009. Est. Value--$450.00. Disposition--Archives Foreign.
2009,Russia,1200.0,"50"" x 62"" rug with an image of President Obama. Rec'd--11/17/ 2009. Est. Value-- $1,200.00. Disposition--Archives Foreign."
2009,Turkey,2150.0,"10"" x 6"" gold vase. Rec'd--12/07/2009. Est. Value--$2,150.00. Disposition--Archives Foreign."
2009,Turkey,1100.0,"14"" green glass vase with gold crescent and star designs, made by Palabah[ccedil]e. Rec'd--12/28/2009. Est. Value--$1,100.00. Disposition--Archives Foreign."
2009,India,3572.0,"Book entitled ``Stories from the Panchatantra''; book entitled ``Ancient Tales of Wit and Wisdom''; book entitled ``The Puffin Treasury of Modern Indian Stories''; book entitled ``A History of Ancient and Early Medieval India''; book entitled ``The Gandhi Collection: History in the Making: The Visual Archives of Kulwant Roy.'' Rec'd--12/22/ 2009. Est. Value-- $3,572.00. Disposition--Archives Foreign."
2009,United Kingdom,775.0,One framed photograph of Her Majesty Queen Elizabeth II; one framed photograph of Prince Phillip. Rec'd-- 4/01/2009. Est. Value-- $775.00. Disposition-- Archives Foreign.
2009,France,1185.0,"S.T. Dupont fountain pen; book entitled ``S.T. Dupont Limited Editions''; Daum perfume bottle. Rec'd-- 4/3/2009. Est. Value-- $1,185.00. Disposition--Archives Foreign."
2009,Czechia,579.0,Stainless steel watch with an accompanying historical booklet; brooch decorated with a red design; white ceramic dog bowl. Rec'd--4/05/2009. Est. Value--$579.00. Disposition--Archives Foreign.
2009,Czechia,1605.0,"Set of six handmade wine glasses, and a book entitled ``The Story of Prague Castle.'' Rec'd--4/06/ 2009. Est. Value-- $1,605.00. Disposition--Archives Foreign."
2009,Germany,440.0,Five Ascot ties in assorted colors and two Krefelder Seidentuch silk scarves. Rec'd--6/01/ 2009. Est. Value-- $440.00. Disposition-- Archives Foreign.
2009,Russia,2125.0,"Painting entitled ``Natalia Pushkina'' by Alexander Pavlovich Brullov, reproduction of a portrait of Alexander Pushkin's wife; porcelain doll designed by Anastasia Chizhova; framed replica of the address by the people of North American States to Alexander II; reproductions of letters between Emperor Alexander II and President Lincoln; lace tablecloth with twelve matching placemats; porcelain tea set made at the Imperial Porcelain Factory in Saint Petersburg. Rec'd--7/ 06/2009. Est. Value-- $2,125.00. Disposition--Archives Foreign."
2009,Italy,3071.0,"Two men's Belstaff jackets; one women's Belstaff jacket. Rec'd--7/06/2009. Est. Value--$3,071.00. Disposition--Archives Foreign."
2009,Malawi,900.0,"Two gilt framed portraits of the President and First Lady, carved in wood. Rec'd--9/23/2009. Est. Value--$900.00. Disposition--Archives Foreign."
2009,Japan,387.0,Five sterling silver cocktail forks; piece of orange decorative brocade cloth. Rec'd-- 9/24/2009. Est. Value-- $387.00. Disposition-- Archives Foreign.
2009,Burkina Faso,450.0,Three multicolored shirts and two full- length cloth garments. Rec'd--11/17/2009. Est. Value--$450.00. Disposition--Archives Foreign.
2009,Haiti,4025.0,"3' x 3' framed portrait of the President and First Lady by Petit- Bois Ancener; 5[foot] x 5[foot] portrait of the President by Petit- Bois Ancener. Rec'd-- 12/30/2009. Est. Value--$4,025.00. Disposition--Archives Foreign."
2009,Germany,12895.0,"Franck Muller Color Dreams watch; accompanying book. Rec'd--4/4/2009. Est. Value--$12,895.00. Disposition--Archives Foreign."
2009,Turkey,400.0,18 karat yellow gold chain with pearls and small diamonds. Rec'd-- 4/6/2009. Est. Value-- $400.00. Disposition-- Archives Foreign.
2009,Saudi Arabia,14200.0,"Necklace made of 33 pearls with a sterling silver pendant. Rec'd-- 4/2/2009. Est. Value-- $14,200.00. Disposition--Archives Foreign."
2009,France,1000.0,"Decorative box made of crystal and lacquered wood. Rec'd--4/04/ 2009. Est. Value-- $1,000.00. Disposition--Archives Foreign."
2009,Pakistan,490.0,Brown leather ``Sadaf International'' purse; brown ``Sadaf International'' jewelry box. Rec'd--6/ 02/2009. Est. Value-- $490.00. Disposition-- Archives Foreign.
2009,Saudi Arabia,132000.0,"Ruby and diamond jewelry set consisting of a pair of earrings, a ring, a bracelet, and a necklace. Rec'd-- 6/03/2009. Est. Value-- $132,000.00. Disposition--Archives Foreign."
2009,France,4500.0,"Black Christian Dior handbag. Rec'd--6/19/ 2009. Est. Value-- $4,500.00. Disposition--Archives Foreign."
2009,Malaysia,500.0,Pink pearl necklace and a multicolored silk scarf. Rec'd--6/23/ 2009. Est. Value-- $500.00. Disposition-- Archives Foreign.
2009,Philippines,938.0,18 karat yellow gold brooch decorated with cultured pearls and yellow citrines presented in a green wooden jewelry box; one book entitled ``Kulinarya: A Guidebook to Philippine Cuisine'' by Michaela Fenix. Rec'd--7/30/2009. Est. Value--$938.00. Disposition--Archives Foreign.
2009,Chile,450.0,"Red woven shawl; and a lapis and silver jewelry set, including a pair of earrings and a necklace. Rec'd--8/ 11/2009. Est. Value-- $450.00. Disposition-- Archives Foreign."
2009,Italy,450.0,Brown and black Italian leather purse. Rec'd-- 8/21/2009. Est. Value-- $450.00. Disposition-- Archives Foreign.
2009,Ghana,685.0,"Traditional necklace made of green, yellow, and white beads; pair of brown leather sandals; two woven seat covers; three pieces of Ghanaian kente cloth. Rec'd--8/ 25/2009. Est. Value-- $685.00. Disposition-- Archives Foreign."
2009,Ghana,48000.0,"Backes and Strauss ``Black Star of Ghana'' watch, crafted in 18 karat gold with diamonds and leather. Rec'd--8/25/2009. Est. Value--$48,000.00. Disposition--Archives Foreign."
2009,Netherlands,5372.0,"Framed signed photograph of the Prince and the Princess of the Netherlands; two ottomans made by Christien Meindertsma. Rec'd--9/11/2009. Est. Value--$5,372.00. Disposition--Archives Foreign."
2009,Turkey,490.0,"Silver jewelry set including a necklace, earrings and ring. Rec'd--9/23/2009. Est. Value--$490.00. Disposition--Archives Foreign."
2009,Argentina,975.0,Two leather bags; one cloth tote bag; one brown suede shawl. Rec'd--9/25/2009. Est. Value--$975.00. Disposition--Archives Foreign.
2009,Japan,9700.0,"Necklace of multi- strand Akoya, Keshi, and freshwater pearls. Rec'd--9/25/2009. Est. Value--$9,700.00. Disposition--Archives Foreign."
2009,India,666.0,Beige pashmina shawl made by the Kashmir Loom Company. Rec'd--9/ 25/2009. Est. Value-- $666.00. Disposition-- Archives Foreign.
2009,France,3766.0,"White leather Chanel notebook; S.T. Dupont white gold pen set; book entitled ``Warhol: Le Grand Monde d' Andy Warhol.'' Rec'd--9/25/ 2009. Est. Value-- $3,766.00. Disposition--Archives Foreign."
2009,Italy,1000.0,"Two sets of 25"" x 23"" reproductions of The Codex Atlanticus by Leonardo da Vinci. Rec'd--9/25/2009. Est. Value--$1,000.00. Disposition--Archives Foreign."
2009,Ukraine,515.0,Lacquered wooden jewelry box; jewelry set consisting of an amber necklace and an amber bracelet. Rec'd-- 11/17/2009. Est. Value--$515.00. Disposition--Archives Foreign.
2009,nan,2575.0,"Painting of St. Michael the Archangel; set of six DVDs; one book. Rec'd--11/17/2009. Est. Value--$2,575.00. Disposition--Archives Foreign."
2009,Turkey,850.0,Wooden box with silver overlay; four beaded table coverings. Rec'd--12/07/2009. Est. Value--$850.00. Disposition--Archives Foreign.
2009,India,1400.0,"Two silver enamel sculptures of a King Fisher and a parrot. Rec'd--12/22/2009. Est. Value--$1,400.00. Disposition--Archives Foreign."
2009,Uruguay,350.0,Tan suede shawl made by Margarita Sierra. Rec'd--9/18/2009. Est. Value--$350.00. Disposition--Archives Foreign.
2009,United Kingdom,521.0,Lara Bohinc rose gold Solar Eclipse bracelet; book entitled ``The Railway Children''; book entitled ``Stories from Shakespeare.'' Rec'd--4/01/2009. Est. Value--$521.00. Disposition--Archives Foreign.
2009,Egypt,630.0,Yellow alabaster bowl; sterling silver chains with charms; four white tablecloths with matching napkin rings. Rec'd--9/23/2009. Est. Value--$630.00. Disposition--Archives Foreign.
2009,China,1000.0,"7"" x 11"" red and white porcelain vase by Franz with purple and pink flower design across the front. Rec'd--4/1/2009. Est. Value--$1,000.00. Disposition--National Archives and Records Administration."
2009,Germany,554.0,"14"" x 14"" Bauhaus chess set, with a lightly- colored wood board and pieces carved into the shape of their allowed movements on the board, contained in a carrying box with sliding top, designed by Josef Hartwig. Rec'd--6/11/2009. Est. Value--$554.00. Disposition--National Archives and Records Administration."
2011,Qatar,350.0,"11"" x 20"" x 12"" wooden display case containing a small sword, the top of the case displays the seal of the State of Qatar and reads, ``Fight Against Corruption.'' Rec'd--1/ 5/2011. Est. Value-- $350.00. Disposition-- Display box is in the White House Gift Office; Handled pursuant to U.S. Secret Service policy."
2011,China,580.0,"14"" red and gold colored vase in red presentation box. Rec'd--1/5/2011. Est. Value--$580.00. Disposition--National Archives and Records Administration."
2011,France,7750.0,"Large, black Hermes golf accessory bag including set of lock and key, and extra strap in bottom compartment, presented in cream colored drawstring bag. Rec'd-- 1/10/2011. Est. Value-- $7,750.00. Disposition--National Archives and Records Administration."
2011,China,9800.0,"Bronze 48"" statue of Abraham Lincoln by the artist Yuan Xikun, includes a red leather booklet describing the gift. Rec'd--1/18/2011. Est. Value--$9,800.00. Disposition--National Archives and Records Administration."
2011,Suriname,1575.79,"Book, title: ``Suriname Discovered,'' by: Toon Fey. Royal Mint 2000 Millennium 22 carat gold coin that reads ``Suriname 100,000 Gulden'' on one side, and ``Suriname'' on the other. Rec'd--2/1/ 2011. Est. Value-- $1,575.79. Disposition--National Archives and Records Administration."
2011,Canada,1880.0,"Basketball, signed by 2010-2011 Toronto Raptors NBA basketball team, in a 10"" x 10"" hard-plastic display case, presented in a 14.5"" x 22.5"" green leather-bound box that has the Prime Minister seal on the top. 23.25"" x 18.25"" golden-framed 19th Century antique map of North America, surrounded by drawings of North American Indians, beavers, and other images, and drawn by Tallis & Co. Rec'd--2/4/2011. Est. Value--$1,880.00. Disposition--National Archives and Records Administration."
2011,Afghanistan,400.0,"52"" x 85"" red Afghan rug with blue trim and white tassels. Rec'd-- 2/22/2011. Est. Value-- $400.00. Disposition-- National Archives and Records Administration."
2011,Mexico,365.0,"13"" tall beige clay ceramic vase with black and red designs made by Antonio Veloz, presented in green box with Mexican flag colored ribbons. Paperback Book, title: ``Mata Ortiz Ceramics: Artes de Mexico, Numero 45"". Rec'd--3/2/2011. Est. Value--$365.00. Disposition--National Archives and Records Administration."
2011,Australia,478.0,"Green and white 2GB iPod Shuffle. Sherrin Match Australian football. Red, white, and blue Western Bulldogs Australian Football League on a field jersey; Red, white, and blue ``U.S. Footy'' football jersey with ``USA Revolution'' on the front and ``25'' on the back. Hand-crafted 2.5"" x 4"" x 6"" Dragonfly silver ash wood trinket box with ``Wood Works Gallery'' sticker on bottom, presented in brown box with ``Australia'' sticker on top. Rec'd-- 3/4/2011. Est. Value-- $478.00. Disposition-- National Archives and Records Administration."
2011,Ireland,3176.0,"Leather-bound book, title: ``Daniel O'Connell: The Man who Discovered Ireland,'' authored by Professor Patrick Geoghegan. 21.5"" x 29.5"" black and white photograph of President John F. Kennedy addressing Irish Oireachtas, formatted in white matte board in a black frame. Fred Curtis Crystal presentation bowl with American flags engraved alongside a shamrock above inscription commemorating St. Patrick's Day Shamrock ceremony at White House, presented in black box with ``Fred Curtis Crystal'' written on sides and on top. Rec'd--3/17/ 2011. Est. Value-- $3,176.00. Disposition--National Archives and Records Administration."
2011,Brazil,780.0,"10"" diameter wooden globe by Eduardo Eleuterio with a cutout of Brazil. Photo album containing 37 photographs of the President during his visit with President Rousseff of the Federative Republic of Brazil, photo album has a hardcover and a medal that reads ``Republica Federativa do Brasil/15 de Nov. de 1889''. Rec'd--3/19/ 2011. Est. Value-- $780.00. Disposition-- National Archives and Records Administration."
2011,El Salvador,410.0,"20"" x 18"" x 5"" wooden mask carved into shape of a jaguar head on a 24"" x 12"" x 5"" wooden base with a gold- colored plaque on bottom describing the piece. Rec'd--3/20/ 2011. Est. Value-- $410.00. Disposition-- National Archives and Records Administration."
2011,Brazil,679.58,"Personalized ``Penalty'' white soccer jersey with one diagonal black stripe and ``Electrobras'' in blue on the front. Personalized ``Olympikus'' red and black striped soccer jersey. Personalized ``Fluminenso'' green and red soccer jersey with white collar. Personalized ``FILA'' black and white striped soccer jersey with black collar with ``Neo Quimica Genericos'' on the front. Personalized yellow Nike Brazil soccer jersey with one horizontal green stripe across chest. Two DVDs, title: 5x Favela Agora por Nos Mesmos. Two DVDs, title: Orfeu. Book, title: ``Memorias de um Sargento de Milicias/Memoirs of a Militia Sergeant.'' Book, title: ``Casa Velha/The Old House,'' by: Machado de Assis. Paperback book authored by Manuel Antonio de Almeida. Book, title: ``A Alma Encantadora Das Ruas/ The Enchanting Soul of the Streets,'' by: Joao do Rio. Two sets of DVDs, title: ``Unidade de Policia,'' distributor: Governo Rio de Janeiro. Rec'd-- 3/20/2011. Est. Value-- $679.58. Disposition-- National Archives and Records Administration."
2011,Brazil,40000.0,"51"" x 40"" digital C print photograph, by artist Vik Muniz, titled ``Marat (Sebastiao),'' depicting a man using arranged items in the style of David's ``Death of Marat.'' Rec'd--3/22/2011. Est. Value--$40,000.00. Disposition--On loan to museum for public exhibit."
2011,nan,400.0,"9"" diameter Tiffany & Co. Revere Pewter bowl, engraved with ``Ban Ki-moon Secretary-General United Nations'' on one side and the Secretary's signature and United Nations logo on the other, presented in turquoise cloth bag with ``Tiffany & Co'' printed on top. Rec'd-- 3/28/2011. Est. Value-- $400.00. Disposition-- National Archives and Records Administration."
2011,Colombia,410.0,Sterling silver water jug and cup in a blue leather presentation box. Rec'd--4/7/2011. Est. Value--$410.00. Disposition--National Archives and Records Administration.
2011,Qatar,3200.0,"30"" circumference gold and silver base with silver statues of two wild goats and a tree with gold clock hanging from it, depicting a desert scene. Rec'd--4/14/ 2011. Est. Value-- $3,200.00. Disposition--National Archives and Records Administration."
2011,Panama,705.0,"14-karat gold bird- shaped cufflinks, presented in 3"" x 2"" x 1.5"" blue leather jewelry box. 5"" x 9"" wood and sterling silver eagle sculpture. Rec'd--4/28/ 2011. Est. Value-- $705.00. Disposition-- National Archives and Records Administration."
2011,Jordan,350.0,"1"" x 7"" x 9"" Porcelain sculpture of Jordanian archway on a black pedestal, presented in dark brown and beige leather-topped box. Rec'd--5/17/2011. Est. Value--$350.00. Disposition--National Archives and Records Administration."
2011,United Kingdom,2800.0,"Red leather-bound book, title: ``A Selection of Papers From the Royal Archives 1834- 1897,'' encased in a 19"" x 16"" x 2"" red leather box. Rec'd--5/24/2011. Est. Value--$2,800.00. Disposition--National Archives and Records Administration."
2011,France,15083.62,"Lacoste white classic men's polo shirt. Limited-edition ``HOPE'' fountain pen and Ligne 8 lighter from S.T. Dupont, each in a cherry blossom design, and contained in a 6.5"" x 6.5"" black box with ``G8 France 2011'' on the top. Bottle of Christian Drouin Pays d'Auge. S.T. Dupont black and silver fountain pen, presented in a 8.5"" x 4.5"" black case. Six black glass goblets in a plastic display case and contained in a 30"" x 18"" red box; 14.35"" tall blue-gray glass sculpture of Bucephalus, Alexander the Great's horse. Rec'd--5/25/2011. Est. Value--$15,083.62. Disposition--National Archives and Records Administration; Perishable goods handled pursuant to US Secret Service policy."
2011,Poland,715.0,"CD, title: ``The Historical Recordings,'' by Paderewski, enclosed in a brown leather book. Silver Waldmann brand pen from the 17th Meeting of Presidents of Central European States, enclosed in a 3.5"" x 8"" black leather box. 4.5"" x 6"" wall plaque of Paderewski, enclosed in a 7.5"" x 8"" blue box. Five bottles of flavored liquors by Nalewski Staropolskie. Rec'd--5/27/2011. Est. Value--$715.00. Disposition--National Archives and Records Administration; Perishable goods handled pursuant to U.S. Secret Service policy."
2011,Poland,497.08,"DVD, title: ``Best of the Witcher 2: Video Trailers for President Barack Obama,'' distributor: Atari. Zubrowka Bison Grass Vodka. Book, title: ``Blood of Elves,'' by Andrzej Sapkowski. Book, title: ``The Last Wish,'' by Andrzej Sapkowski. Set of four 2"" x 1.5"" clear glass liqueur glasses, each has ``Zubrowka'' engraved in white. 13.5"" x 9.75"" x 4.5"" ``Witcher 2'' gift box, inside are three golden ``Witcher 2'' coins, a ``Witcher 2'' book, ``Witcher 2'' stickers, ``Witcher 2'' make your own aircraft. 5.5"" x 6.5"" x 3"" ivory- colored bust of ``Witcher 2'' character ``Gwynbleioo,'' a DVD box set of ``Witcher 2'' bonus DVD, Game DVD, and Game Guide. ``Witcher 2'' playing cards, and 5 wooden die in black sack with ``Witcher 2'' emblem. 11.75"" x 7"" x 5"" brown leather carrying case with handles and lock. Rec'd--5/28/2011. Est. Value--$497.08. Disposition--National Archives and Records Administration; Perishable goods handled pursuant to U.S. Secret Service policy."
2011,Germany,1400.0,"Kramski putter set, includes: 35"" HPP 340 putter with two protective club head covers, teal HPT 40 training console, HPS 30 Aim Aid set, book title: ``The Kramski Putt Philosophy''. Rec'd--6/ 6/2011. Est. Value-- $1,400.00. Disposition--National Archives and Records Administration."
2011,Gabon,52695.0,"14"" blue mask sculpture by Daum, on a 10"" black and silver stand, enclosed in 34"" x 16"" x 13"" red box. Rec'd--6/9/2011. Est. Value--$52,695.00. Disposition--National Archives and Records Administration."
2011,Nigeria,780.0,"12"" x 8"" x 6"" gold-colored bust of woman, on a 6"" x 6"" x 2"" wooden base. Rec'd--6/14/ 2011. Est. Value-- $780.00. Disposition-- National Archives and Records Administration."
2011,Mongolia,440.0,"Book, title: ``Genghis Khan and the Making of the Modern World,'' by Jack Weatherford. 19'' tall bronze statue depicting a man riding a horse, on an 8.5"" x 4.5"" x 1.5"" granite pedestal, presented in brown suede bag. Rec'd--6/16/ 2011. Est. Value-- $440.00. Disposition-- Book personally retained; Other items are at National Archives and Records Administration."
2011,Côte d’Ivoire,450.0,"Traditional Chief's robe (Kita), from the Akan People. Rec'd--6/ 27/2011. Est. Value-- $450.00. Disposition - National Archives and Records Administration."
2011,Italy,1000.0,"Book, title: ``L`Italia Unita: 150 anniversario Unita d' Italia.'' Rec'd--7/1/ 2011. Est. Value-- $1,000.00. Disposition--National Archives and Records Administration."
2011,Philippines,1060.0,"Bamboo bicycle, handmade by the Bambike Company. Rec'd--7/5/2011. Est. Value--$1,060.00. Disposition--National Archives and Records Administration."
2011,New Zealand,3200.0,"11.5"" x 4"" traditional Maori weapon with a short broad-bladed club, made of the sacred greenstone, carved by Aden Hoglund, and contained in a 16"" x 7"" x 3"" wooden presentation box. Rec'd--7/22/2011. Est. Value--$3,200.00. Disposition--National Archives and Records Administration."
2011,Guinea,850.0,"29"" x 8"" x 15"" ebony wood carving of a mask on four legs. Rec'd--7/29/ 2011. Est. Value-- $850.00. Disposition-- National Archives and Records Administration."
2011,France,1650.0,"Crystal golf statuette by Baccarat, depicting a golfer with his iron pitched over his head in the moment before striking a ball. Crystal golf statuette by Baccarat, depicting a golfer with his iron out in front in a follow-through posture. Black Hermes golf travel bag with canvas cover and carrying strap. Rec'd-- 8/1/2011. Est. Value-- $1,650.00. Disposition--National Archives and Records Administration."
2011,Senegal,660.0,"Black leather briefcase and a black leather portfolio, both with sterling silver pieces mounted on the leather engraved with ``Barack H. Obama.'' Rec'd--8/1/ 2011. Est. Value-- $660.00. isposition-- National Archives and Records Administration."
