Job title,Yearly Salary (USD),Years Work Experience
Senior Student Services Specialist,44777.0,5-7 years
Vice President of Finance,95000.0,21 - 30 years
Teaching Assistant,40000.0,11 - 20 years
Senior Media Specialist/Strategist,150000.0,11 - 20 years
Teacher ,37000.0,2 - 4 years
Sr. Corporate Recruiter,110400.0,11 - 20 years
Compensation Analyst,70000.0,21 - 30 years
partner,200000.0,11 - 20 years
Assistant Director of Development ,69000.0,11 - 20 years
Security Engineer,94257.0,11 - 20 years
Director of Marketing,40000.0,11 - 20 years
Strategic Sourcing Buyer,89000.0,5-7 years
Academic Advisor/Recruiter for master's program,72300.0,11 - 20 years
Proposal Writer,82000.0,11 - 20 years
Private Client Advisor,65000.0,5-7 years
Reporter,36000.0,8 - 10 years
Finance Manager,105000.0,11 - 20 years
Senior Product Manager,117000.0,11 - 20 years
International Trade Compliance Manager,126000.0,11 - 20 years
HR Director,107000.0,21 - 30 years
Accounts Payable,55000.0,5-7 years
Staff writer,51000.0,8 - 10 years
Veterinarian,108000.0,5-7 years
Office Administrator,40000.0,5-7 years
Senior Vice President ,170000.0,11 - 20 years
ux developer & product designer (junior),65000.0,8 - 10 years
Realty Specialist,75000.0,21 - 30 years
Director of Internal Audit,91000.0,31 - 40 years
Marketing Comms Associate,44000.0,2 - 4 years
Psychometrist II,52000.0,11 - 20 years
Materials Engineer,111433.0,5-7 years
Pricing Specialist,58327.0,11 - 20 years
Fellowship Director,58000.0,8 - 10 years
Visiting Lecturer,56000.0,21 - 30 years
Manager,144000.0,21 - 30 years
Production Supervisor,66840.0,11 - 20 years
Lead Generation Manager,91000.0,11 - 20 years
Program Manager,87000.0,11 - 20 years
Program Coordinator,35140.0,11 - 20 years
Lecturer,25000.0,8 - 10 years
Director,120000.0,21 - 30 years
VP of Communications,154000.0,11 - 20 years
development assistant,37960.0,11 - 20 years
Digital Media Production Engineer,50000.0,11 - 20 years
Marketing Manager,80000.0,5-7 years
Development Specialist,51000.0,5-7 years
Online Content Quality Specialist,67150.0,5-7 years
Records Management Specialist,85000.0,8 - 10 years
Program Manager (Staff),53000.0,21 - 30 years
Associate Counsel,82500.0,8 - 10 years
Learning and Engagement Librarian,58000.0,8 - 10 years
Executive Director,200000.0,21 - 30 years
Manager,110000.0,11 - 20 years
Academic Advisor,58000.0,41 years or more
Manager of People Operations,71500.0,8 - 10 years
Contract Specialist ,80000.0,21 - 30 years
QA Manager,109000.0,8 - 10 years
Community Outreach,52000.0,21 - 30 years
Political Communications Fellow,37440.0,2 - 4 years
Business Support Consultant,54000.0,2 - 4 years
Senior Technical Lead Project Manager,142335.0,21 - 30 years
Sr. Project Coordinator ,75000.0,8 - 10 years
Genetic Counselor,93000.0,8 - 10 years
Team lead dmv,23000.0,21 - 30 years
Teacher 4th Grade,51000.0,31 - 40 years
Knowledge Analyst ,72000.0,21 - 30 years
Registrar,37419.0,8 - 10 years
Director of Marketing,100000.0,11 - 20 years
Operations Analyst,62000.0,11 - 20 years
Senior Editor,105000.0,21 - 30 years
Web developer,94000.0,8 - 10 years
User Research & Design Lead,91000.0,11 - 20 years
Project Manager,52800.0,21 - 30 years
Financial Analyst Intermediate ,65000.0,11 - 20 years
Quality Engineer,110000.0,11 - 20 years
Marketing Manager,87550.0,8 - 10 years
Legal editor,82000.0,11 - 20 years
Research fellow,55000.0,2 - 4 years
Assistant Editor,40000.0,11 - 20 years
Operations Director,46000.0,5-7 years
Volunteer Specialist,38600.0,5-7 years
Interactive Communications Strategist,57500.0,8 - 10 years
Operations Manager,127500.0,11 - 20 years
HR Director,93600.0,11 - 20 years
Healthcare Data Analyst,66913.0,11 - 20 years
Production Planner,78280.0,31 - 40 years
Senior Analyst,86000.0,8 - 10 years
Prospect Research Coordinator,65000.0,8 - 10 years
Financial Analyst,87360.0,21 - 30 years
"Mental Health Clinician, MHC-P",37000.0,11 - 20 years
Accounting Manager,81000.0,11 - 20 years
Sr Institutional Research Analyst,58500.0,11 - 20 years
VP Marketing/Merchandising/Creative,241000.0,21 - 30 years
Medical Illustrator & Animator,70000.0,5-7 years
Regional Director of Revenue Management,68245.0,11 - 20 years
digital content strategist,74000.0,21 - 30 years
Senior Instructional Designer,75000.0,11 - 20 years
Bookkeeper ,56500.0,21 - 30 years
Bookkeeper,53040.0,21 - 30 years
Project Manager,65818.0,5-7 years
Associate Director,133540.0,11 - 20 years
Accounting Clerk,39500.0,8 - 10 years
Assistant Dean,80000.0,21 - 30 years
Shipping coordinator ,70000.0,8 - 10 years
graphic designer,83500.0,41 years or more
Financial Planner,60000.0,8 - 10 years
Foundation Assistant,33280.0,5-7 years
Mid level consultant,63000.0,8 - 10 years
Customer Data Management,66000.0,11 - 20 years
Business Systems Analyst,89024.0,11 - 20 years
Supervisor,78000.0,21 - 30 years
Library assistant 1,42000.0,21 - 30 years
System Support Analyst,54000.0,31 - 40 years
Librarian,44000.0,8 - 10 years
Accounting Specialist / H.R. Assistant,50000.0,2 - 4 years
Human Resources Generalist,83200.0,8 - 10 years
Utilities Engineer,66000.0,21 - 30 years
Paralegal,72000.0,11 - 20 years
Customer Success Team Manager ,75000.0,11 - 20 years
Senior Consultant,85000.0,11 - 20 years
Configuration Management Specialist,113000.0,11 - 20 years
Supervisor of Children's Services ,60800.0,8 - 10 years
Payroll Tax Manager,62000.0,11 - 20 years
Records Management,33800.0,5-7 years
Search Engine Optimization Manager,63000.0,11 - 20 years
Scientific Program Analyst Assistant,49524.0,2 - 4 years
Events,67000.0,11 - 20 years
Senior Director,176500.0,21 - 30 years
Data Specialist,55000.0,11 - 20 years
Engineering Supervisor ,113000.0,11 - 20 years
Senior Manager of Strategy,105000.0,8 - 10 years
research analyst,84000.0,5-7 years
Events Manager,60000.0,11 - 20 years
Director of Communications,81200.0,21 - 30 years
Account Development Representative,52520.0,5-7 years
Associate Director of Supply Chain,115000.0,11 - 20 years
Director of Data Science,160000.0,8 - 10 years
Senior Associate Attorney ,120000.0,8 - 10 years
Professor,81000.0,21 - 30 years
Program Manager,60000.0,5-7 years
Chief Counsel,253300.0,31 - 40 years
Project Manager,66250.0,8 - 10 years
Senior Pharmacy Financial Consultant,124000.0,8 - 10 years
Director of Housing Initiatives,115000.0,21 - 30 years
"Teacher, writing center director",54000.0,11 - 20 years
Associate Attorney,90000.0,11 - 20 years
Front Office Supervisor,49000.0,8 - 10 years
Senior Customer Success Manager,71309.0,11 - 20 years
Junior Product Manager,130000.0,2 - 4 years
Event Manager,62000.0,8 - 10 years
Archivist,67675.0,11 - 20 years
Graduate Student,26000.0,2 - 4 years
Human Resources Director,101000.0,8 - 10 years
IRB Specialist,77000.0,21 - 30 years
Staff physician ,222000.0,8 - 10 years
Outreach Associate,64000.0,8 - 10 years
Financial Analyst II,66000.0,21 - 30 years
Associate Governmental Program Analyst,64625.0,31 - 40 years
Digital Communications Manager,74000.0,5-7 years
Communication manager,65000.0,5-7 years
Senior Data Engineer,110000.0,2 - 4 years
Compliance Manager,91000.0,8 - 10 years
RN,40000.0,8 - 10 years
Senior Software Engineer ,160367.0,21 - 30 years
Attorney,160000.0,8 - 10 years
Application Analyst,95000.0,11 - 20 years
Program Consultant,71000.0,11 - 20 years
Product Designer,105000.0,5-7 years
Administrative Librarian,76302.0,21 - 30 years
Statistician,51000.0,2 - 4 years
Product development engineer,90000.0,8 - 10 years
Freelance Copywriter,120000.0,8 - 10 years
Software Quality Assurance Manager,110000.0,31 - 40 years
Assistant Professor,72000.0,11 - 20 years
